"id","host_is_superhost","neighbourhood_cleansed","zipcode","property_type","accommodates","bathrooms","bedrooms","price","review_scores_rating","availability_365"
"15175107","f","Waterfront Communities-The Island","M5J 0A7","Condominium","2.0","1.0","1.0","200.0","93.0","89.0"
"15497982","f","Waterfront Communities-The Island","M5J 0B1","Condominium","3.0","1.0","1.0","190.0","93.0","118.0"
"15634988","f","Waterfront Communities-The Island","M5J 0A1","Condominium","4.0","1.0","1.0","118.0","93.0","66.0"
"15743072","f","Waterfront Communities-The Island","M5J","Condominium","3.0","1.0","1.0","220.0","94.0","253.0"
"15754980","f","Waterfront Communities-The Island","M5J","Condominium","3.0","1.0","1.0","231.0","94.0","233.0"
"15756445","f","Waterfront Communities-The Island","M5J","Condominium","3.0","1.0","1.0","235.0","93.0","213.0"
"15760005","f","Waterfront Communities-The Island","M5J","Apartment","6.0","1.0","2.0","111.0","93.0","214.0"
"15971622","f","Waterfront Communities-The Island","M5J","Condominium","4.0","1.0","1.0","247.0","96.0","213.0"
"16079236","f","Waterfront Communities-The Island","M5J 0B1","Apartment","2.0","1.5","1.0","141.0","100.0","206.0"
"16087849","f","Waterfront Communities-The Island","M5J","Condominium","6.0","1.5","2.0","199.0","89.0","212.0"
"16117787","t","Waterfront Communities-The Island","M5J 0A7","Condominium","4.0","2.0","2.0","170.0","99.0","174.0"
"16193976","t","Waterfront Communities-The Island","M5J 0B1","Condominium","3.0","1.0","1.0","399.0","96.0","186.0"
"16362158","t","Waterfront Communities-The Island","M5J 2X2","Apartment","2.0","2.0","1.0","89.0","98.0","108.0"
"16406760","f","Waterfront Communities-The Island","M5J 1B7","Apartment","1.0","1.0","1.0","148.0","null","81.0"
"16407788","t","Waterfront Communities-The Island","M5J 0B1","Condominium","3.0","1.0","1.0","115.0","93.0","220.0"
"16456277","t","Waterfront Communities-The Island","M5J 0B1","Condominium","2.0","1.0","1.0","80.0","98.0","69.0"
"16497345","f","Waterfront Communities-The Island","M5J","Condominium","4.0","1.0","1.0","249.0","94.0","200.0"
"16620043","f","Waterfront Communities-The Island","M5J","Apartment","4.0","1.0","1.0","220.0","null","90.0"
"16860374","t","Waterfront Communities-The Island","M5J","Apartment","5.0","1.0","1.0","99.0","98.0","214.0"
"16880610","t","Waterfront Communities-The Island","M5J 0A7","Condominium","6.0","2.0","2.0","99.0","98.0","50.0"
"16884840","t","Waterfront Communities-The Island","M5J","Apartment","6.0","1.5","2.0","180.0","99.0","38.0"
